frame,nose_x,nose_y,nose_score,eye(L)_x,eye(L)_y,eye(L)_score,eye(R)_x,eye(R)_y,eye(R)_score,ear(L)_x,ear(L)_y,ear(L)_score,ear(R)_x,ear(R)_y,ear(R)_score,shoulder(L)_x,shoulder(L)_y,shoulder(L)_score,shoulder(R)_x,shoulder(R)_y,shoulder(R)_score,elbow(L)_x,elbow(L)_y,elbow(L)_score,elbow(R)_x,elbow(R)_y,elbow(R)_score,wrist(L)_x,wrist(L)_y,wrist(L)_score,wrist(R)_x,wrist(R)_y,wrist(R)_score,hip(L)_x,hip(L)_y,hip(L)_score,hip(R)_x,hip(R)_y,hip(R)_score,knee(L)_x,knee(L)_y,knee(L)_score,knee(R)_x,knee(R)_y,knee(R)_score,ankle(L)_x,ankle(L)_y,ankle(L)_score,ankle(R)_x,ankle(R)_y,ankle(R)_score
0,921,107,0.9900214076042175,941,89,0.9579563140869141,902,89,0.9732416272163391,969,103,0.7641839981079102,872,101,0.8575063943862915,1006,226,0.9962990880012512,827,227,0.998308539390564,1050,371,0.98093181848526,785,368,0.992728590965271,1055,496,0.9660491943359375,789,483,0.9834263324737549,978,533,0.9991934895515442,857,533,0.9994373917579651,995,744,0.9969587326049805,821,744,0.9980173110961914,1000,927,0.9784780740737915,806,934,0.9839243292808533
1,917,106,0.9887692928314209,938,89,0.959457278251648,898,88,0.9680238366127014,965,102,0.764052152633667,869,100,0.8285681009292603,1006,219,0.9944120049476624,825,220,0.9972123503684998,1050,364,0.972684383392334,786,363,0.9873453974723816,1054,493,0.9554969668388367,785,479,0.9746844172477722,981,526,0.9981429576873779,856,526,0.9985951781272888,1001,743,0.9919339418411255,822,744,0.9943999648094177,1003,927,0.9474321603775024,805,937,0.9594001173973083
2,914,106,0.9888667464256287,934,88,0.9584200382232666,894,87,0.9690966010093689,961,101,0.7534149289131165,863,99,0.836255669593811,1002,217,0.9942803382873535,822,219,0.997314989566803,1048,361,0.9716547131538391,785,364,0.9879624247550964,1055,491,0.954178512096405,783,479,0.9756925106048584,981,525,0.9981537461280823,856,526,0.9986494183540344,1002,743,0.9920119643211365,823,745,0.9946405291557312,1002,926,0.9482999444007874,804,936,0.9609247446060181
3,908,106,0.9890233278274536,928,88,0.9579119086265564,888,87,0.970562219619751,955,99,0.7446682453155518,858,98,0.8433699607849121,997,215,0.9939664602279663,817,217,0.9973777532577515,1046,359,0.969424307346344,782,362,0.9883995056152344,1055,489,0.951303243637085,782,478,0.9762921929359436,980,525,0.9980858564376831,855,525,0.9986599683761597,1002,742,0.9918532967567444,823,744,0.9947793483734131,1004,926,0.9484474658966064,804,937,0.9621565341949463
4,901,107,0.9886425137519836,921,89,0.9587019085884094,882,88,0.96722811460495,949,101,0.7636548280715942,854,99,0.8255399465560913,994,216,0.9945482611656189,814,217,0.9972360730171204,1046,359,0.9735283851623535,778,360,0.9878429174423218,1055,489,0.9568643569946289,781,475,0.9758052229881287,979,524,0.9982287287712097,854,525,0.9986677169799805,1001,742,0.992181658744812,822,745,0.9946356415748596,1003,927,0.9484029412269592,804,938,0.9605304002761841
5,897,106,0.9889919757843018,918,89,0.9611573219299316,878,88,0.9672030210494995,946,101,0.7771841883659363,849,99,0.8204107284545898,991,217,0.9948679208755493,810,218,0.9971724152565002,1044,359,0.9752358198165894,775,358,0.9873582124710083,1055,489,0.9592794179916382,780,473,0.9753309488296509,979,525,0.998251736164093,854,525,0.9986323714256287,1001,743,0.9920593500137329,822,747,0.9943370223045349,1003,926,0.9464510083198547,804,938,0.9580075144767761
6,892,107,0.9890323877334595,913,90,0.9620134234428406,873,89,0.9663463234901428,941,103,0.7850730419158936,844,100,0.8147483468055725,987,218,0.9951807260513306,806,218,0.9971297383308411,1042,358,0.9771439433097839,771,356,0.9871242046356201,1055,489,0.9619638919830322,779,472,0.9752315282821655,978,523,0.9983312487602234,853,524,0.9986457228660583,1000,740,0.9923433661460876,821,744,0.9943296313285828,1003,924,0.9474836587905884,805,936,0.957863986492157
7,888,109,0.9891043901443481,909,92,0.9629295468330383,869,90,0.9656877517700195,938,105,0.791424036026001,841,101,0.8095254302024841,982,219,0.9954071044921875,802,219,0.997097373008728,1037,359,0.9785705208778381,767,356,0.9869595170021057,1054,489,0.963813841342926,778,467,0.9751729965209961,977,523,0.9983900785446167,852,524,0.9986546039581299,999,740,0.9925129413604736,819,744,0.99428790807724,1002,923,0.9479068517684937,804,935,0.957444965839386
8,884,111,0.9894306659698486,905,94,0.9617296457290649,865,92,0.9683597683906555,932,106,0.7754798531532288,835,103,0.8258413076400757,977,218,0.9952072501182556,798,218,0.9973133206367493,1034,356,0.9772863984107971,765,353,0.9882826209068298,1054,489,0.9622887969017029,777,467,0.977207362651825,976,522,0.9983685612678528,851,523,0.9987196922302246,998,739,0.9922237396240234,818,745,0.994419276714325,1002,922,0.9459480047225952,800,935,0.9574090838432312
9,880,111,0.9902309775352478,899,94,0.958003044128418,862,93,0.9710646271705627,926,107,0.7452743649482727,830,102,0.8374465107917786,972,221,0.9970282912254333,792,222,0.9973750114440918,1034,356,0.9845720529556274,756,353,0.9891204833984375,1056,486,0.9673901796340942,773,467,0.9772435426712036,974,527,0.9990435242652893,851,531,0.9991641044616699,996,744,0.9945264458656311,815,749,0.9954923391342163,1002,927,0.9553899168968201,802,933,0.9609957933425903
